successes,trials,mean,lower upper,upper,n_ids,n_countries,beta_group,random_country,random_slope,class
1000,1000,1,0.9963179,1,200,40,0.19,1.5,-0.1,rq1
1000,1000,1,0.9963179,1,200,40,0.19,1.5,0,rq1
855,1000,0.855,0.8316337,0.8762528,200,40,0.19,1.5,0.1,rq1
248,1000,0.248,0.2215081,0.2759842,200,40,0.19,1.5,0.5,rq1
128,1000,0.128,0.1079122,0.1503059,200,40,0.19,1.5,1,rq1
1000,1000,1,0.9963179,1,250,40,0.19,1.5,-0.1,rq1
1000,1000,1,0.9963179,1,250,40,0.19,1.5,0,rq1
875,1000,0.875,0.852893,0.8948702,250,40,0.19,1.5,0.1,rq1
271,1000,0.271,0.2436592,0.299696,250,40,0.19,1.5,0.5,rq1
135,1000,0.135,0.1144191,0.1577559,250,40,0.19,1.5,1,rq1
