successes,trials,mean,lower,upper,n_ids,n_countries,beta_group,random_country,class
750,1000,0.75,0.7219499938,0.7765695937,25,20,0.19,1.5,rq1
890,1000,0.89,0.8689475364,0.9087222255,25,30,0.19,1.5,rq1
962,1000,0.962,0.9482128964,0.972971184,25,40,0.19,1.5,rq1
955,1000,0.955,0.9402471673,0.9669903746,50,20,0.19,1.5,rq1
999,1000,0.999,0.9944410757,0.9999746825,50,30,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,50,40,0.19,1.5,rq1
997,1000,0.997,0.9912579768,0.9993809001,75,20,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,75,30,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,75,40,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,100,20,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,100,20,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,100,20,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,100,30,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,100,30,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,100,30,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,100,40,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,100,40,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,100,40,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,100,50,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,100,50,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,100,50,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,100,60,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,100,60,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,100,60,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,150,20,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,150,20,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,150,20,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,150,30,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,150,30,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,150,30,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,150,40,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,150,40,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,150,40,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,150,50,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,150,50,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,150,50,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,150,60,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,150,60,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,150,60,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,200,20,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,200,20,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,200,20,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,200,30,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,200,30,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,200,30,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,200,40,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,200,40,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,200,40,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,200,50,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,200,50,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,200,50,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,200,60,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,200,60,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,200,60,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,250,20,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,250,20,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,250,20,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,250,30,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,250,30,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,250,30,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,250,40,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,250,40,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,250,40,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,250,50,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,250,50,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,250,50,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,250,60,0.19,0.3,rq1
1000,1000,1,0.9963179161,1,250,60,0.19,0.9,rq1
1000,1000,1,0.9963179161,1,250,60,0.19,1.5,rq1
1000,1000,1,0.9963179161,1,100,20,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,100,20,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,100,20,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,100,30,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,100,30,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,100,30,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,100,40,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,100,40,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,100,40,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,100,50,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,100,50,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,100,50,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,100,60,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,100,60,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,100,60,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,150,20,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,150,20,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,150,20,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,150,30,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,150,30,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,150,30,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,150,40,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,150,40,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,150,40,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,150,50,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,150,50,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,150,50,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,150,60,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,150,60,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,150,60,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,200,20,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,200,20,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,200,20,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,200,30,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,200,30,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,200,30,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,200,40,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,200,40,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,200,40,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,200,50,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,200,50,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,200,50,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,200,60,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,200,60,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,200,60,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,250,20,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,250,20,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,250,20,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,250,30,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,250,30,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,250,30,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,250,40,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,250,40,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,250,40,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,250,50,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,250,50,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,250,50,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,250,60,0.27,0.3,rq1
1000,1000,1,0.9963179161,1,250,60,0.27,0.9,rq1
1000,1000,1,0.9963179161,1,250,60,0.27,1.5,rq1
1000,1000,1,0.9963179161,1,100,20,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,100,20,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,100,20,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,100,30,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,100,30,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,100,30,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,100,40,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,100,40,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,100,40,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,100,50,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,100,50,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,100,50,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,100,60,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,100,60,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,100,60,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,150,20,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,150,20,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,150,20,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,150,30,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,150,30,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,150,30,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,150,40,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,150,40,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,150,40,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,150,50,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,150,50,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,150,50,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,150,60,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,150,60,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,150,60,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,200,20,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,200,20,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,200,20,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,200,30,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,200,30,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,200,30,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,200,40,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,200,40,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,200,40,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,200,50,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,200,50,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,200,50,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,200,60,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,200,60,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,200,60,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,250,20,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,250,20,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,250,20,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,250,30,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,250,30,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,250,30,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,250,40,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,250,40,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,250,40,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,250,50,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,250,50,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,250,50,0.35,1.5,rq1
1000,1000,1,0.9963179161,1,250,60,0.35,0.3,rq1
1000,1000,1,0.9963179161,1,250,60,0.35,0.9,rq1
1000,1000,1,0.9963179161,1,250,60,0.35,1.5,rq1
