n_ids,n_countries,successes,bias_es,random,trials,mean,lower,upper,powered
100,20,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
100,30,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
100,40,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
100,50,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
100,60,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
150,20,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
150,30,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
150,40,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
150,50,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
150,60,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
200,20,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
200,30,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
200,40,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
200,50,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
200,60,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
250,20,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
250,30,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
250,40,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
250,50,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
250,60,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
300,20,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
300,30,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
300,40,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
300,50,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
300,60,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
350,20,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
350,30,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
350,40,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
350,50,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
350,60,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
400,20,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
400,30,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
400,40,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
400,50,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
400,60,1000,0.16,0.05,1000,1,0.9963179161031344,1,yes
100,20,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
100,30,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
100,40,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
100,50,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
100,60,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
150,20,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
150,30,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
150,40,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
150,50,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
150,60,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
200,20,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
200,30,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
200,40,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
200,50,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
200,60,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
250,20,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
250,30,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
250,40,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
250,50,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
250,60,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
300,20,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
300,30,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
300,40,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
300,50,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
300,60,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
350,20,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
350,30,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
350,40,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
350,50,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
350,60,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
400,20,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
400,30,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
400,40,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
400,50,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
400,60,1000,0.16,0.3,1000,1,0.9963179161031344,1,yes
100,20,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
100,30,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
100,40,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
100,50,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
100,60,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
150,20,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
150,30,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
150,40,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
150,50,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
150,60,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
200,20,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
200,30,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
200,40,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
200,50,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
200,60,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
250,20,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
250,30,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
250,40,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
250,50,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
250,60,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
300,20,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
300,30,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
300,40,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
300,50,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
300,60,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
350,20,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
350,30,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
350,40,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
350,50,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
350,60,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
400,20,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
400,30,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
400,40,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
400,50,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
400,60,1000,0.16,0.55,1000,1,0.9963179161031344,1,yes
100,20,1000,0.16,0.8,1000,1,0.9963179161031344,1,yes
100,30,1000,0.16,0.8,1000,1,0.9963179161031344,1,yes
100,40,1000,0.16,0.8,1000,1,0.9963179161031344,1,yes
100,50,1000,0.16,0.8,1000,1,0.9963179161031344,1,yes
100,60,1000,0.16,0.8,1000,1,0.9963179161031344,1,yes
150,20,1000,0.16,0.8,1000,1,0.9963179161031344,1,yes
150,30,1000,0.16,0.8,1000,1,0.9963179161031344,1,yes
150,40,1000,0.16,0.8,1000,1,0.9963179161031344,1,yes
150,50,1000,0.16,0.8,1000,1,0.9963179161031344,1,yes
150,60,1000,0.16,0.8,1000,1,0.9963179161031344,1,yes
200,20,1000,0.16,0.8,1000,1,0.9963179161031344,1,yes
200,30,1000,0.16,0.8,1000,1,0.9963179161031344,1,yes
200,40,1000,0.16,0.8,1000,1,0.9963179161031344,1,yes
