n_ids,n_countries,successes,bias_es,beta,random,trials,mean,lower,upper,powered,class
100,20,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
100,30,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
100,40,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
100,50,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
100,60,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
150,20,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
150,30,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
150,40,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
150,50,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
150,60,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
200,20,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
200,30,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
200,40,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
200,50,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
200,60,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
250,20,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
250,30,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
250,40,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
250,50,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
250,60,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
300,20,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
300,30,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
300,40,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
300,50,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
300,60,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
350,20,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
350,30,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
350,40,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
350,50,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
350,60,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
400,20,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
400,30,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
400,40,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
400,50,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
400,60,1000,0.16,0.4,0.05,1000,1,0.9963179161,1,yes,rq2
100,20,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
100,30,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
100,40,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
100,50,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
100,60,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
150,20,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
150,30,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
150,40,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
150,50,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
150,60,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
200,20,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
200,30,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
200,40,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
200,50,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
200,60,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
250,20,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
250,30,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
250,40,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
250,50,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
250,60,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
300,20,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
300,30,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
300,40,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
300,50,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
300,60,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
350,20,1000,0.16,0.4,0.3,1000,1,0.9963179161,1,yes,rq2
