header,notes
n_ids,number of participants per country in simulated dataframe
n_countries,number of countries in simulated dataframe
bias_es,effect size used for outcome (i.e. intergroup bias)
beta,beta coefficient for fixed effect
random,value of random variance
trials,total number of simulations
successes,number of simulations for which an effect was detected
mean,power to reject the null hypothesis of zero trend in predictor(s)
lower,lower bound of 95 percent confidence interval
upper,upper bound of 95 percent confidence interval
powered,"given the parameters, is it sufficiently powered at 0.95?"
class,"which research question (rq) the power analysis relates to (rq1, rq2, rq3)"
