name,label,data_type,value_labels,n_missing,complete_rate,n_unique,empty,min,median,max,mean,sd,whitespace,n_value_labels,hist,units
id,"Participant identification alphanumeric code. Generated during data processing, based on row number.",character,,0,1,400,0,4,,4,,,0,,,
date,Date participant started the survey. Set to Eastern Time (ET).,Date,,0,1,1,,2022-04-04,2022-04-04,2022-04-04,,,,,,
start_time,Time participant started the survey. Set to Eastern Time (ET).,difftime,,0,1,385,,10881,22691,39631,,,,,,secs
end_time,Time participant ended/closed the survey. Set to Eastern Time (ET).,difftime,,0,1,382,,11450,23537.5,40231,,,,,,secs
progress,Percentage of survey completed.,numeric,,0,1,,,97,100,100,99.9925,0.15,,,▁▁▁▁▇,
duration,"Time spent completing the survey, in seconds. Calculated by Qualtrics.",numeric,,0,1,,,344,755,3173,844.82,386.2732778915,,,▇▃▁▁▁,
lab,Laboratory number. Generated during data processing. NB this is meaningless for pilot data; useful for analysis pipeline.,character,,0,1,1,0,2,,2,,,0,,,
country,Nation/region the participant is from. Generated during data processing. Uses ISO 3166-1 alpha-3 country codes.,character,,0,1,2,0,3,,3,,,0,,,
userlanguage,"Language of Qualtrics survey, which corresponds to country.",character,,0,1,2,0,2,,5,,,0,,,
minimal_group,"Letter of minimal group participant was randomly assigned to (assignment done in Qualtrics). Letters were in sets of two, corresponding to the in-/out-group: (H, J); (K, M); (L, N); (P, S).",character,,0,1,8,0,1,,1,,,0,,,
dg_min_in_self,Allocation to *self* in first-party allocation task/dictator game between minimal in-group member and self. Allocation in points.,numeric,,0,1,,,0,10,20,13.2575,4.2539904604,,,▁▁▇▃▃,
dg_min_out_self,Allocation to *self* in first-party allocation task/dictator game between minimal out-group member and self. Allocation in points.,numeric,,0,1,,,0,15,20,14.17,4.4890398413,,,▁▁▇▅▆,
dg_min_in_out,Allocation to *in-group member* in third-party allocation task/dictator game between minimal in-group member and minimal out-group member. Allocation in points.,numeric,,0,1,,,0,10,20,11.8125,3.2877602054,,,▁▁▇▂▁,
dg_nat_in_self,Allocation to *self* in first-party allocation task/dictator game between national in-group member and self. Allocation in points.,numeric,,0,1,,,0,12,20,13.7075,4.261142698,,,▁▁▇▃▅,
dg_nat_out_self,Allocation to *self* in first-party allocation task/dictator game between national out-group member and self. Allocation in points.,numeric,,0,1,,,0,13,20,13.7425,4.5889912674,,,▁▁▇▃▅,
dg_nat_in_out,Allocation to *in-group member* in third-party allocation task/dictator game between national in-group member and national out-group member. Allocation in points.,numeric,,0,1,,,0,10,20,10.805,3.1807653435,,,▁▁▇▁▁,
dg_fam_in_self,Allocation (hypothetical) to *self* in first-party allocation task/dictator game between familial in-group member and self. Allocation in points.,numeric,,0,1,,,0,10,20,13.07,4.461486541,,,▁▁▇▃▃,
dg_fam_out_self,Allocation (hypothetical) to *self* in first-party allocation task/dictator game between familial out-group member and self. Allocation in points.,numeric,,0,1,,,0,15,20,14.715,4.4042329832,,,▁▁▇▆▇,
dg_fam_in_out,Allocation (hypothetical) to *in-group member* in third-party allocation task/dictator game between familial in-group member and familial out-group member. Allocation in points.,numeric,,0,1,,,0,12,20,12.7375,5.1546114109,,,▁▁▇▅▅,
dg_min_bias_first,Difference between in-group–self and out-group–self decisions in the allocation task involving minimal groups. Not standardized.,numeric,,0,1,,,-20,0,10,0.9125,3.2180324863,,,▁▁▁▇▂,
dg_min_bias_third,Difference between in-group and out-group member in third-party allocation task involving minimal groups. Not standardized.,numeric,,0,1,,,-20,0,20,3.625,6.5755204107,,,▁▁▇▂▁,
dg_nat_bias_first,Difference between in-group–self and out-group–self decisions in the allocation task involving national groups. Not standardized.,numeric,,0,1,,,-20,0,10,0.035,3.0474567234,,,▁▁▁▇▁,
