id,date,start_time,end_time,progress,duration,lab,country,userlanguage,minimal_group,dg_min_in_self,dg_min_out_self,dg_min_in_out,dg_nat_in_self,dg_nat_out_self,dg_nat_in_out,dg_fam_in_self,dg_fam_out_self,dg_fam_in_out,dg_min_bias_first,dg_min_bias_third,dg_nat_bias_first,dg_nat_bias_third,dg_fam_bias_first,dg_fam_bias_third,att_min_in,att_min_out,att_min_bias,att_nat_in,att_nat_out,att_nat_bias,att_fam_in,att_fam_out,att_fam_bias,self_esteem,trust_in,trust_out,trust_in_out,trust_institution,horizontal_individualism,vertical_collectivism,permeability,family_tie_importance,family_tie_parental_duties,family_tie_respect_parents,family_tie_sum,embeddedness,attention_general_1,attention_minimal,attention_general_2,pass_attention_general_1,pass_attention_minimal,pass_attention_general_2,pass_attention_total,interpersonaltrust_1,interpersonaltrust_2,interpersonaltrust_3,interpersonaltrust_4,interpersonaltrust_5,interpersonaltrust_6,institutiontrust_1,institutiontrust_2,institutiontrust_3,familytie1,familytie2,familytie3_1,familytie3_2,familytie3_3,familytie3_4,col_ind_1,col_ind_2,col_ind_3,col_ind_4,col_ind_5,col_ind_6,col_ind_7,col_ind_8,col_ind_9,col_ind_10,col_ind_11,col_ind_12,col_ind_13,col_ind_14,gender,age,political_affiliation,political_orientation,income_when16,work_situation,education,marital_status,num_children,num_siblings,num_cousins,residence_wparents,size_of_residence,freq_moving,region_childhood,region_current,comment,mgp_familiarity,mgp_followup,trade_off_1,trade_off_2,trade_off_3,trade_off_4,trade_off_5,trade_off_6,trade_off_7,trade_off_8,trade_off_9,currency,conversionrate,dvorder,mingroup,ingroupletter,outgroupletter,role,gamepayoff,totalmoney
p001,2022-04-04,03:01:21,03:10:50,100,568,01,GBR,EN-GB,M,20,20,10,20,20,10,20,20,10,0,10,0,10,0,10,5.75,3.75,2,6,5.5,0.5,6,7,-1,6,3.3333333333333335,2.6666666666666665,0.666666666666667,2.3333333333333335,6.666666666666667,3.75,-2.916666666666667,4,1,1,6,4,Somewhat Disagree,M,18,1,1,1,3,4,3,3,2,3,3,3,2,2,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents have a life of their own and should not be asked to sacrifice their own well-being for the sake of their children.,Very important,Very important,Not at all important,Not very important,6,2,5,6,7,7,5,6,6,5,7,3,6,6,Female,25-34,Labour,Somewhat liberal,Average,Employed (full-time),Post-graduate degree,In a relationship (but currently unmarried),0,1,2,No,"2,000 to 10,000 inhabitants",I moved 3-5 times,Lancashire,Lancashire,Views/morals vs upbringing?,No,NA,1,1,3,4,1,1,4,1,5,£,0.067,attfirst,secondletter,M,K,allocator,20,1.34
p002,2022-04-04,03:03:15,03:15:19,100,724,01,GBR,EN-GB,H,5,5,10,5,5,10,10,10,10,0,10,0,10,0,10,4,3.5,0.5,4,5.25,-1.25,4.5,5,-0.5,4,2.3333333333333335,2,0.3333333333333335,2,5,5,0,3,1,1,5,9,Somewhat Disagree,H,18,1,1,1,3,3,2,2,2,2,2,2,2,2,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents have a life of their own and should not be asked to sacrifice their own well-being for the sake of their children.,Rather important,Rather important,Not very important,Rather important,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Female,25-34,No affiliation,Moderate,Below average,Employed (full-time),Some college / university,In a relationship (but currently unmarried),3,1,4,No,"10,000 to 100,000 inhabitants",I moved 6-10 times,Outer London — West and North West,Outer London — West and North West,If your loyalty affects your decisions,Yes,Expressing favouritism when placed in a group,3,3,3,3,3,3,3,3,3,£,0.067,attfirst,firstletter,H,J,recipient,10,0.67
p003,2022-04-04,03:07:41,03:15:35,100,473,01,GBR,EN-GB,J,15,18,18,18,15,8,15,15,10,3,18,-3,8,0,10,3.75,3.25,0.5,2.75,5,-2.25,6.5,5.5,1,7,4,2.6666666666666665,1.3333333333333335,1.6666666666666667,8,2.75,-5.25,4,1,2,7,20,Somewhat Disagree,J,18,1,1,1,3,4,4,4,2,3,3,2,2,1,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Not at all important,Not very important,7,1,3,8,5,9,6,7,8,4,8,1,7,6,Female,18-24,Labour,Somewhat liberal,Far below average,Employed (part-time),Completed college / university,Single (never married),0,1,17,Yes,"2,000 to 10,000 inhabitants",I moved 3-5 times,Cheshire,Cheshire,NA,No,NA,1,1,5,1,1,2,4,1,5,£,0.067,attfirst,secondletter,J,H,recipient,10,0.67
p004,2022-04-04,03:01:33,03:15:48,100,855,01,GBR,EN-GB,M,10,10,10,10,10,10,10,10,10,0,10,0,10,0,10,4,4.75,-0.75,7,6.5,0.5,7,5,2,2,3,3,0,2,8,7.75,-0.25,3,2,2,7,6,Somewhat Disagree,M,18,1,1,1,3,3,3,3,3,3,3,2,2,2,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Rather important,Not at all important,Not at all important,Not at all important,9,9,6,8,8,7,8,9,9,9,8,8,8,8,Female,18-24,No affiliation,Moderate,Average,Employed (full-time),Some college / university,In a relationship (but currently unmarried),0,1,3,Yes,"10,000 to 100,000 inhabitants",I didn't move,Greater Manchester,Greater Manchester,NA,No,NA,2,4,2,4,2,2,4,1,5,£,0.067,allofirst,secondletter,M,K,allocator,10,0.67
p005,2022-04-04,03:08:46,03:17:42,100,536,01,GBR,EN-GB,H,15,15,10,10,10,10,10,10,10,0,10,0,10,0,10,4,4.25,-0.25,5.25,5.5,-0.25,5.5,5.5,0,2,3,2.6666666666666665,0.3333333333333335,2.6666666666666665,6.666666666666667,6,-0.666666666666667,4,2,2,8,10,Somewhat Disagree,H,18,1,1,1,3,4,2,3,2,3,3,3,3,2,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Rather important,Not at all important,Rather important,8,7,5,5,6,6,5,8,2,6,6,7,5,8,Female,35-44,Labour,Moderate,Average,Employed (part-time),Completed college / university,Married,2,1,6,No,"2,000 to 10,000 inhabitants",I moved once or twice,Derbyshire and Nottinghamshire,Derbyshire and Nottinghamshire,NA,No,NA,1,3,4,5,1,5,2,1,5,£,0.067,attfirst,firstletter,H,J,allocator,10,0.67
p006,2022-04-04,03:07:40,03:17:56,100,615,01,GBR,EN-GB,N,10,15,10,15,15,10,10,15,10,5,10,0,10,5,10,4.5,3.75,0.75,4,4,0,5.25,5,0.25,5,3.3333333333333335,3,0.3333333333333335,3,6,3.25,-2.75,3,2,2,7,7,Somewhat Disagree,N,18,1,1,1,3,4,2,4,3,3,3,3,3,3,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Rather important,Rather important,Not very important,Rather important,3,1,5,5,5,5,5,7,5,5,6,2,5,5,Female,55-64,Conservative,Conservative,Below average,Other,Completed high school,Married,0,6,0,No,"Up to 2,000 inhabitants",I didn't move,Devon,Devon,NA,No,NA,2,2,4,2,2,3,4,2,4,£,0.067,allofirst,secondletter,N,L,recipient,10,0.67
p007,2022-04-04,03:09:26,03:19:12,100,585,01,GBR,EN-GB,N,18,18,10,13,15,15,13,17,15,0,10,2,15,4,15,4.5,4,0.5,5.75,4.25,1.5,5,5,0,2,3,2.6666666666666665,0.3333333333333335,1.6666666666666667,6.333333333333333,5.25,-1.083333333333333,4,1,2,7,8,Somewhat Disagree,N,18,1,1,1,3,4,2,3,2,3,3,2,2,1,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Not very important,Rather important,5,6,5,6,6,6,6,6,6,6,7,4,5,7,Female,25-34,Labour,Somewhat liberal,Average,Employed (full-time),Post-graduate degree,In a relationship (but currently unmarried),0,1,6,No,"10,000 to 100,000 inhabitants",I moved once or twice,Bedfordshire and Hertfordshire,Bedfordshire and Hertfordshire,None,No,NA,1,2,3,3,1,3,4,2,4,£,0.067,attfirst,secondletter,N,L,recipient,10,0.67
p008,2022-04-04,03:11:54,03:19:52,100,478,01,GBR,EN-GB,K,20,20,10,20,20,10,20,20,20,0,10,0,10,0,20,4.5,4.5,0,5.75,4.75,1,6,5.5,0.5,3,3,2.6666666666666665,0.3333333333333335,2.3333333333333335,5.666666666666667,5,-0.666666666666667,4,1,2,7,35,Somewhat Disagree,K,18,1,1,1,3,3,3,3,2,3,3,2,3,2,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Very important,Very important,7,8,8,4,6,6,2,5,7,7,6,2,1,7,Female,18-24,No affiliation,Somewhat liberal,Above average,Student,Some college / university,In a relationship (but currently unmarried),0,3,30,Yes,"2,000 to 10,000 inhabitants",I moved once or twice,Inner London — West,Inner London — West,Attitudes toward competition and cooperation between groups of different affiliations to you.,No,NA,2,2,3,2,2,2,3,1,4,£,0.067,attfirst,firstletter,K,M,allocator,20,1.34
p009,2022-04-04,03:06:21,03:20:28,100,846,01,GBR,EN-GB,P,10,10,10,10,10,10,10,10,10,0,10,0,10,0,10,4.25,4.25,0,5.25,4.5,0.75,6,5.5,0.5,4,3.6666666666666665,3,0.6666666666666665,3,6,5.5,-0.5,4,1,2,7,5,Somewhat Disagree,P,18,1,1,1,3,4,3,4,3,3,3,4,3,2,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Not at all important,Not very important,5,6,5,4,7,6,5,7,6,5,5,6,6,6,Male,75 or above,No affiliation,A little conservative,Average,Pensioned/Retired,Completed college / university,Other,3,0,1,No,"2,000 to 10,000 inhabitants",I moved once or twice,East Anglia,East Anglia,NA,No,NA,2,3,4,2,2,4,2,2,4,£,0.067,attfirst,firstletter,P,S,allocator,10,0.67
p010,2022-04-04,03:09:21,03:21:14,100,713,01,GBR,EN-GB,J,10,15,10,15,15,10,10,20,15,5,10,0,10,10,15,4.75,3.5,1.25,5.75,4.5,1.25,6.25,5.75,0.5,5,4,3,1,2.6666666666666665,6.666666666666667,4.25,-2.416666666666667,4,1,2,7,6,Somewhat Disagree,J,18,1,1,1,3,4,4,4,3,3,3,3,3,2,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Not at all important,Rather important,7,5,5,4,6,6,5,7,3,6,7,2,6,8,Female,18-24,Labour,Somewhat liberal,Below average,Student,Completed college / university,In a relationship (but currently unmarried),0,1,3,Yes,"10,000 to 100,000 inhabitants",I moved once or twice,"Northumberland, and Tyne and Wear","Northumberland, and Tyne and Wear",Comparing people’s values and making decisions,No,NA,1,3,2,3,1,2,3,1,5,£,0.067,allofirst,secondletter,J,H,recipient,10,0.67
