CountryName,CountryCode,IndicatorCode,2015,2016,2017,2018,2019,2020
Aruba,ABW,PA.NUS.PPP,1.3623179197,1.3550446033,1.3506896496,,,
Africa Eastern and Southern,AFE,PA.NUS.PPP,,,,,,
Afghanistan,AFG,PA.NUS.PPP,17.0225200169,17.4458279431,17.2055580488,17.1501727228,17.9482149453,19.1216105982
Africa Western and Central,AFW,PA.NUS.PPP,,,,,,
Angola,AGO,PA.NUS.PPP,68.1820449829,80.778968811,92.9517211914,117.1561296237,147.4341566544,159.3506816242
Albania,ALB,PA.NUS.PPP,42.7057005248,42.3857268833,42.2555724939,42.3503730913,42.2977601392,42.4124892466
Andorra,AND,PA.NUS.PPP,,,,,,
Arab World,ARB,PA.NUS.PPP,,,,,,
United Arab Emirates,ARE,PA.NUS.PPP,2.1877846718,2.1897521019,2.2217919827,2.3477550157,2.2040738533,1.9956872262
Argentina,ARG,PA.NUS.PPP,6.8665480614,9.294965744,10.2568216324,14.2265629923,21.0943755139,29.1577687917
Armenia,ARM,PA.NUS.PPP,172.9235229492,161.2288818359,155.970703125,156.5597433845,155.453007697,156.7084557554
American Samoa,ASM,PA.NUS.PPP,,,,,,
Antigua and Barbuda,ATG,PA.NUS.PPP,2.0395412445,2.0600430965,2.093501091,2.0925164028,2.0600946368,2.0710822867
Australia,AUS,PA.NUS.PPP,1.473691,1.450156,1.477553,1.470403,1.482686,1.446009
Austria,AUT,PA.NUS.PPP,0.798813,0.776931,0.775009,0.765403,0.770813,0.763921
Azerbaijan,AZE,PA.NUS.PPP,0.3772571087,0.4309014678,0.5054716468,0.5537669062,0.5427418585,0.4956173148
Burundi,BDI,PA.NUS.PPP,570.6591186523,585.8931884766,654.8958740234,621.3082353348,615.43055579,680.4537103374
Belgium,BEL,PA.NUS.PPP,0.799998,0.781011,0.775634,0.766407,0.766896,0.745495
Benin,BEN,PA.NUS.PPP,220.5238952637,214.4338684082,216.7736053467,213.1102109529,208.5402228268,211.9872043917
Burkina Faso,BFA,PA.NUS.PPP,225.4159240723,215.196685791,208.7572021484,206.0519177489,205.7117051855,217.1549749302
Bangladesh,BGD,PA.NUS.PPP,27.2837295532,28.4988307953,29.7381744385,30.6664396798,31.4720182938,32.3690402075
Bulgaria,BGR,PA.NUS.PPP,0.6786981525,0.666662732,0.6762803346,0.6808660877,0.703768892,0.7028135482
Bahrain,BHR,PA.NUS.PPP,0.1867311001,0.1898810267,0.1871177107,0.1906470674,0.1875054407,0.1753854918
"Bahamas, The",BHS,PA.NUS.PPP,0.9363132715,0.9241201878,0.901406765,0.8897039533,0.8900849978,0.7742818997
Bosnia and Herzegovina,BIH,PA.NUS.PPP,0.6940902883,0.6755650296,0.6806648538,0.6751946932,0.6798276612,0.6680159783
Belarus,BLR,PA.NUS.PPP,0.5251604319,0.563757062,0.6090428233,0.6669622936,0.711792768,0.7743567058
Belize,BLZ,PA.NUS.PPP,1.3185250759,1.3422743082,1.3750650883,1.3451832021,1.3438550794,1.2745149006
Bermuda,BMU,PA.NUS.PPP,1.4192436934,1.3997250795,1.3664158583,1.355566858,1.3733670929,1.3247555051
Bolivia,BOL,PA.NUS.PPP,2.94069767,2.8347120285,2.7489435673,2.7665346186,2.6991780211,2.6161249334
Brazil,BRA,PA.NUS.PPP,1.9888141155,2.1330816746,2.1815569401,2.2261368254,2.280712551,2.3618448812
Barbados,BRB,PA.NUS.PPP,2.1307795048,2.1188681126,2.2030050755,2.2110737727,2.2267518734,2.3032733294
Brunei Darussalam,BRN,PA.NUS.PPP,0.6851136088,0.6663544178,0.6468536258,0.689913655,0.6552033633,0.5770688023
Bhutan,BTN,PA.NUS.PPP,18.586774826,18.8310470581,19.2083396912,19.0879791333,18.9218074225,19.9777294412
Botswana,BWA,PA.NUS.PPP,4.4301252365,4.5750570297,4.7338495255,4.6075127702,4.5468775351,4.7466375778
Central African Republic,CAF,PA.NUS.PPP,283.5237426758,280.0477905273,286.8291625977,276.6751202189,278.295718245,287.1948364984
Canada,CAN,PA.NUS.PPP,1.248042,1.207045,1.212304,1.206524,1.246847,1.245722
Central Europe and the Baltics,CEB,PA.NUS.PPP,,,,,,
Switzerland,CHE,PA.NUS.PPP,1.235788,1.201964,1.187726,1.178866,1.177269,1.139775
Channel Islands,CHI,PA.NUS.PPP,,,,,,
Chile,CHL,PA.NUS.PPP,391.178861,397.250703,397.689401,396.229413,408.021643,417.724619
China,CHN,PA.NUS.PPP,3.8706972599,3.9888372421,4.1838111877,4.228703645,4.2080265276,4.183910307
Cote d'Ivoire,CIV,PA.NUS.PPP,250.6382446289,252.4108276367,253.7456054688,249.3691869172,245.4868403982,244.9273519892
Cameroon,CMR,PA.NUS.PPP,240.7082672119,237.4437561035,232.8013916016,231.6556071177,230.2550476122,228.7643781544
"Congo, Dem. Rep.",COD,PA.NUS.PPP,508.5955200195,494.1267089844,645.3905639648,818.3013594845,836.1568961713,881.8547689439
"Congo, Rep.",COG,PA.NUS.PPP,311.9990539551,316.6252746582,297.6739807129,359.9119481261,348.2016312735,293.3501596296
Colombia,COL,PA.NUS.PPP,1276.4793701172,1298.142605,1328.016627,1322.160543,1343.601781,1320.0954
Comoros,COM,PA.NUS.PPP,203.344039917,197.5705566406,190.1259002686,189.0761595642,193.1907878057,194.0638186894
Cabo Verde,CPV,PA.NUS.PPP,50.4526634216,49.3641433716,48.4771270752,48.0618782396,47.4847819732,46.5148230752
Costa Rica,CRI,PA.NUS.PPP,364.1627197266,343.013617,340.991882,337.901936,331.167742,320.849715
Caribbean small states,CSS,PA.NUS.PPP,,,,,,
Cuba,CUB,PA.NUS.PPP,,,,,,
Curacao,CUW,PA.NUS.PPP,1.4233790636,1.4109777212,1.3671565056,1.3696083307,1.3813156376,1.3997894766
Cayman Islands,CYM,PA.NUS.PPP,0.9896329045,0.9812552333,0.9737908244,0.9755945022,0.9923101605,0.990295675
Cyprus,CYP,PA.NUS.PPP,0.6631385235,0.6223262208,0.6151847884,0.6131291459,0.615553985,0.6108714064
Czech Republic,CZE,PA.NUS.PPP,12.93798,12.576343,12.424986,12.371528,12.663206,12.793019
Germany,DEU,PA.NUS.PPP,0.778122,0.752608,0.744783,0.735448,0.751098,0.738351
Djibouti,DJI,PA.NUS.PPP,103.3022842407,106.1264572144,106.0227050781,104.5790414084,105.2036900604,105.2932265697
Dominica,DMA,PA.NUS.PPP,1.8411551714,1.82589674,1.737537384,1.7583481747,1.7835803965,1.7423773592
Denmark,DNK,PA.NUS.PPP,7.305357,7.079856,6.871679,6.765997,6.791558,6.632676
