header,notes
successes,number of simulations for which an effect was detected
trials,total number of simulations
mean,power to reject the null hypothesis of zero trend in predictor(s)
lower,lower bound of 95 percent confidence interval
upper,upper bound of 95 percent confidence interval
n_ids,number of participants per country in simulated dataframe
n_countries,number of countries in simulated dataframe
beta_X,"beta coefficient for fixed effect, where X = group (RQ1); = self-esteem (RQ2); = MGE (RQ3)"
random_country,value of random variance for country
class,"which research question the power analysis relates to (RQ1, 2, or 3)"
