successes,trials,mean,lower,upper,subjects,countries,beta,beta_variance,class
972,1000,0.972,0.9597851,0.9813153,100,30,0.1,0.01,rq1
816,1000,0.816,0.7905659,0.8395577,100,30,0.1,0.02,rq1
683,1000,0.683,0.653153,0.7117651,100,30,0.1,0.03,rq1
995,1000,0.995,0.9883705,0.9983746,100,40,0.1,0.01,rq1
940,1000,0.94,0.9234395,0.953905,100,40,0.1,0.02,rq1
814,1000,0.814,0.7884716,0.837664,100,40,0.1,0.03,rq1
998,1000,0.998,0.9927942,0.9997577,100,50,0.1,0.01,rq1
980,1000,0.98,0.96928,0.9877417,100,50,0.1,0.02,rq1
908,1000,0.908,0.8883642,0.9251916,100,50,0.1,0.03,rq1
986,1000,0.986,0.9766218,0.9923255,150,30,0.1,0.01,rq1
859,1000,0.859,0.8358734,0.8799885,150,30,0.1,0.02,rq1
713,1000,0.713,0.6838642,0.7408758,150,30,0.1,0.03,rq1
997,1000,0.997,0.991258,0.9993809,150,40,0.1,0.01,rq1
945,1000,0.945,0.9290085,0.9583012,150,40,0.1,0.02,rq1
820,1000,0.82,0.7947575,0.8433419,150,40,0.1,0.03,rq1
1000,1000,1,0.9963179,1,150,50,0.1,0.01,rq1
987,1000,0.987,0.9778722,0.9930604,150,50,0.1,0.02,rq1
914,1000,0.914,0.8948797,0.9306375,150,50,0.1,0.03,rq1
990,1000,0.99,0.9816868,0.9951945,200,30,0.1,0.01,rq1
852,1000,0.852,0.8284576,0.8734473,200,30,0.1,0.02,rq1
705,1000,0.705,0.6756604,0.7331271,200,30,0.1,0.03,rq1
998,1000,0.998,0.9927942,0.9997577,200,40,0.1,0.01,rq1
958,1000,0.958,0.9436497,0.9695653,200,40,0.1,0.02,rq1
842,1000,0.842,0.8178924,0.8640735,200,40,0.1,0.03,rq1
1000,1000,1,0.9963179,1,200,50,0.1,0.01,rq1
983,1000,0.983,0.9729205,0.9900665,200,50,0.1,0.02,rq1
931,1000,0.931,0.9134849,0.9459207,200,50,0.1,0.03,rq1
996,1000,0.996,0.9898,0.9989,250,30,0.1,0.01,rq1
894,1000,0.894,0.8732,0.9124,250,30,0.1,0.02,rq1
704,1000,0.704,0.6746,0.7322,250,30,0.1,0.03,rq1
999,1000,0.999,0.9944,1,250,40,0.1,0.01,rq1
967,1000,0.967,0.954,0.9772,250,40,0.1,0.02,rq1
849,1000,0.849,0.8253,0.8706,250,40,0.1,0.03,rq1
1000,1000,1,0.9963,1,250,50,0.1,0.01,rq1
994,1000,0.994,0.987,0.9978,250,50,0.1,0.02,rq1
922,1000,0.922,0.9036,0.9379,250,50,0.1,0.03,rq1
1000,1000,1,0.9963179161,1,100,30,0.15,0.01,rq1
996,1000,0.996,0.9897903353,0.998909092,100,30,0.15,0.02,rq1
973,1000,0.973,0.9609582532,0.9821330941,100,30,0.15,0.03,rq1
1000,1000,1,0.9963179161,1,100,40,0.15,0.01,rq1
1000,1000,1,0.9963179161,1,100,40,0.15,0.02,rq1
995,1000,0.995,0.9883705294,0.9983745805,100,40,0.15,0.03,rq1
1000,1000,1,0.9963179161,1,100,50,0.15,0.01,rq1
1000,1000,1,0.9963179161,1,100,50,0.15,0.02,rq1
1000,1000,1,0.9963179161,1,100,50,0.15,0.03,rq1
1000,1000,1,0.9963179161,1,150,30,0.15,0.01,rq1
995,1000,0.995,0.9883705294,0.9983745805,150,30,0.15,0.02,rq1
975,1000,0.975,0.9633151769,0.9837574643,150,30,0.15,0.03,rq1
1000,1000,1,0.9963179161,1,150,40,0.15,0.01,rq1
1000,1000,1,0.9963179161,1,150,40,0.15,0.02,rq1
997,1000,0.997,0.9912579768,0.9993809001,150,40,0.15,0.03,rq1
1000,1000,1,0.9963179161,1,150,50,0.15,0.01,rq1
1000,1000,1,0.9963179161,1,150,50,0.15,0.02,rq1
1000,1000,1,0.9963179161,1,150,50,0.15,0.03,rq1
1000,1000,1,0.9963179161,1,200,30,0.15,0.01,rq1
997,1000,0.997,0.9912579768,0.9993809001,200,30,0.15,0.02,rq1
977,1000,0.977,0.9656876624,0.9853654177,200,30,0.15,0.03,rq1
1000,1000,1,0.9963179161,1,200,40,0.15,0.01,rq1
1000,1000,1,0.9963179161,1,200,40,0.15,0.02,rq1
998,1000,0.998,0.9927941611,0.9997576989,200,40,0.15,0.03,rq1
1000,1000,1,0.9963179161,1,200,50,0.15,0.01,rq1
1000,1000,1,0.9963179161,1,200,50,0.15,0.02,rq1
999,1000,0.999,0.9944410757,0.9999746825,200,50,0.15,0.03,rq1
1000,1000,1,0.9963179161,1,250,30,0.15,0.01,rq1
998,1000,0.998,0.9927941611,0.9997576989,250,30,0.15,0.02,rq1
983,1000,0.983,0.9729205031,0.9900664874,250,30,0.15,0.03,rq1
1000,1000,1,0.9963179161,1,250,40,0.15,0.01,rq1
1000,1000,1,0.9963179161,1,250,40,0.15,0.02,rq1
995,1000,0.995,0.9883705294,0.9983745805,250,40,0.15,0.03,rq1
1000,1000,1,0.9963179161,1,250,50,0.15,0.01,rq1
1000,1000,1,0.9963179161,1,250,50,0.15,0.02,rq1
1000,1000,1,0.9963179161,1,250,50,0.15,0.03,rq1
432,1000,0.432,0.401,0.4634,100,30,0.05,0.01,rq1
237,1000,0.237,0.2109,0.2646,100,30,0.05,0.02,rq1
193,1000,0.193,0.169,0.2189,100,30,0.05,0.03,rq1
567,1000,0.567,0.5356,0.598,100,40,0.05,0.01,rq1
341,1000,0.341,0.3116,0.3713,100,40,0.05,0.02,rq1
218,1000,0.218,0.1928,0.2449,100,40,0.05,0.03,rq1
693,1000,0.693,0.6634,0.7215,100,50,0.05,0.01,rq1
434,1000,0.434,0.403,0.4654,100,50,0.05,0.02,rq1
307,1000,0.307,0.2785,0.3366,100,50,0.05,0.03,rq1
477,1000,0.477,0.4456,0.5085,150,30,0.05,0.01,rq1
292,1000,0.292,0.264,0.3213,150,30,0.05,0.02,rq1
198,1000,0.198,0.1737,0.2241,150,30,0.05,0.03,rq1
616,1000,0.616,0.5851,0.6463,150,40,0.05,0.01,rq1
377,1000,0.377,0.3469,0.4079,150,40,0.05,0.02,rq1
250,1000,0.25,0.2234,0.2781,150,40,0.05,0.03,rq1
719,1000,0.719,0.69,0.7467,150,50,0.05,0.01,rq1
441,1000,0.441,0.4099,0.4724,150,50,0.05,0.02,rq1
299,1000,0.299,0.2708,0.3284,150,50,0.05,0.03,rq1
487,1000,0.487,0.4556,0.5185,200,30,0.05,0.01,rq1
248,1000,0.248,0.2215,0.276,200,30,0.05,0.02,rq1
161,1000,0.161,0.1387,0.1853,200,30,0.05,0.03,rq1
637,1000,0.637,0.6063,0.6669,200,40,0.05,0.01,rq1
386,1000,0.386,0.3557,0.417,200,40,0.05,0.02,rq1
258,1000,0.258,0.2311,0.2863,200,40,0.05,0.03,rq1
771,1000,0.771,0.7437,0.7967,200,50,0.05,0.01,rq1
471,1000,0.471,0.4397,0.5025,200,50,0.05,0.02,rq1
323,1000,0.323,0.2941,0.353,200,50,0.05,0.03,rq1
508,1000,0.508,0.4765,0.5394,250,30,0.05,0.01,rq1
277,1000,0.277,0.2495,0.3059,250,30,0.05,0.02,rq1
194,1000,0.194,0.1699,0.2199,250,30,0.05,0.03,rq1
679,1000,0.679,0.6491,0.7079,250,40,0.05,0.01,rq1
421,1000,0.421,0.3902,0.4523,250,40,0.05,0.02,rq1
266,1000,0.266,0.2388,0.2945,250,40,0.05,0.03,rq1
784,1000,0.784,0.7572,0.8091,250,50,0.05,0.01,rq1
483,1000,0.483,0.4516,0.5145,250,50,0.05,0.02,rq1
341,1000,0.341,0.3116,0.3713,250,50,0.05,0.03,rq1
