successes,trials,mean,lower,upper,subjects,countries,beta,beta_variance,class
96,100,0.96,0.9007428433,0.988995506,100,30,0.1,0.01,rq2
79,100,0.79,0.6970846206,0.8650563043,100,30,0.1,0.02,rq2
66,100,0.66,0.5584667322,0.7517764985,100,30,0.1,0.03,rq2
99,100,0.99,0.9455406146,0.999746854,100,40,0.1,0.01,rq2
92,100,0.92,0.8484423641,0.9648284375,100,40,0.1,0.02,rq2
81,100,0.81,0.719302042,0.8815568039,100,40,0.1,0.03,rq2
100,100,1,0.9637833074,1,100,50,0.1,0.01,rq2
96,100,0.96,0.9007428433,0.988995506,100,50,0.1,0.02,rq2
89,100,0.89,0.8116988678,0.9437929797,100,50,0.1,0.03,rq2
100,100,1,0.9637833074,1,150,30,0.1,0.01,rq2
85,100,0.85,0.7646924999,0.9135456144,150,30,0.1,0.02,rq2
66,100,0.66,0.5584667322,0.7517764985,150,30,0.1,0.03,rq2
100,100,1,0.9637833074,1,150,40,0.1,0.01,rq2
94,100,0.94,0.8739700654,0.9776651139,150,40,0.1,0.02,rq2
82,100,0.82,0.730522914,0.8896887708,150,40,0.1,0.03,rq2
100,100,1,0.9637833074,1,150,50,0.1,0.01,rq2
99,100,0.99,0.9455406146,0.999746854,150,50,0.1,0.02,rq2
89,100,0.89,0.8116988678,0.9437929797,150,50,0.1,0.03,rq2
100,100,1,0.9637833074,1,200,30,0.1,0.01,rq2
90,100,0.9,0.8237774023,0.9509953108,200,30,0.1,0.02,rq2
70,100,0.7,0.6001853238,0.7875935795,200,30,0.1,0.03,rq2
100,100,1,0.9637833074,1,200,40,0.1,0.01,rq2
92,100,0.92,0.8484423641,0.9648284375,200,40,0.1,0.02,rq2
82,100,0.82,0.730522914,0.8896887708,200,40,0.1,0.03,rq2
100,100,1,0.9637833074,1,200,50,0.1,0.01,rq2
100,100,1,0.9637833074,1,200,50,0.1,0.02,rq2
96,100,0.96,0.9007428433,0.988995506,200,50,0.1,0.03,rq2
100,100,1,0.9637833074,1,250,30,0.1,0.01,rq2
90,100,0.9,0.8237774023,0.9509953108,250,30,0.1,0.02,rq2
68,100,0.68,0.5792331384,0.7697800832,250,30,0.1,0.03,rq2
100,100,1,0.9637833074,1,250,40,0.1,0.01,rq2
99,100,0.99,0.9455406146,0.999746854,250,40,0.1,0.02,rq2
88,100,0.88,0.7997643164,0.9364310974,250,40,0.1,0.03,rq2
100,100,1,0.9637833074,1,250,50,0.1,0.01,rq2
98,100,0.98,0.9296160675,0.9975686632,250,50,0.1,0.02,rq2
