successes,trials,mean,lower,upper,subjects,countries,beta_MGE,beta_variance,class
403,1000,0.403,0.3724228544,0.4341499562,100,30,0.05,0.01,rq3
368,1000,0.368,0.3380357136,0.3987440599,100,30,0.05,0.02,rq3
289,1000,0.289,0.261060378,0.3181877712,100,30,0.05,0.03,rq3
508,1000,0.508,0.4765295183,0.5394232583,100,40,0.05,0.01,rq3
514,1000,0.514,0.4825199722,0.5453973864,100,40,0.05,0.02,rq3
382,1000,0.382,0.3517708101,0.4129261498,100,40,0.05,0.03,rq3
635,1000,0.635,0.6042984489,0.6649040262,100,50,0.05,0.01,rq3
627,1000,0.627,0.5961878424,0.6570619652,100,50,0.05,0.02,rq3
467,1000,0.467,0.4357139755,0.4984808295,100,50,0.05,0.03,rq3
556,1000,0.556,0.5245783619,0.5870910319,150,30,0.05,0.01,rq3
551,1000,0.551,0.5195598573,0.5821390616,150,30,0.05,0.02,rq3
363,1000,0.363,0.3331368399,0.3936725205,150,30,0.05,0.03,rq3
729,1000,0.729,0.7003040045,0.7563407624,150,40,0.05,0.01,rq3
644,1000,0.644,0.6134334742,0.6737157336,150,40,0.05,0.02,rq3
482,1000,0.482,0.4506223375,0.5134839164,150,40,0.05,0.03,rq3
837,1000,0.837,0.8126218562,0.8593744596,150,50,0.05,0.01,rq3
803,1000,0.803,0.7769717429,0.8272302495,150,50,0.05,0.02,rq3
593,1000,0.593,0.5618140059,0.6236368227,150,50,0.05,0.03,rq3
729,1000,0.729,0.7003040045,0.7563407624,200,30,0.05,0.01,rq3
667,1000,0.667,0.6368307821,0.6961821976,200,30,0.05,0.02,rq3
437,1000,0.437,0.4059815065,0.4683904385,200,30,0.05,0.03,rq3
853,1000,0.853,0.8295159201,0.8743827889,200,40,0.05,0.01,rq3
794,1000,0.794,0.7675848559,0.8186712811,200,40,0.05,0.02,rq3
581,1000,0.581,0.5497183616,0.6118033708,200,40,0.05,0.03,rq3
941,1000,0.941,0.9245509269,0.9547866456,200,50,0.05,0.01,rq3
889,1000,0.889,0.8678739382,0.9078020928,200,50,0.05,0.02,rq3
684,1000,0.684,0.6541743924,0.712737788,200,50,0.05,0.03,rq3
853,1000,0.853,0.8295159201,0.8743827889,250,30,0.05,0.01,rq3
766,1000,0.766,0.7384980762,0.7919259196,250,30,0.05,0.02,rq3
491,1000,0.491,0.4595807443,0.5224723821,250,30,0.05,0.03,rq3
926,1000,0.926,0.907988264,0.9414505557,250,40,0.05,0.01,rq3
881,1000,0.881,0.859302482,0.9004235082,250,40,0.05,0.02,rq3
606,1000,0.606,0.5749388017,0.6364351903,250,40,0.05,0.03,rq3
972,1000,0.972,0.9597851126,0.9813153138,250,50,0.05,0.01,rq3
956,1000,0.956,0.9413795808,0.967850503,250,50,0.05,0.02,rq3
716,1000,0.716,0.6869433178,0.743778805,250,50,0.05,0.03,rq3
78,1000,0.078,0.0621412131,0.0963936334,100,30,0.025,0.01,rq3
81,1000,0.081,0.0648435397,0.099671699,100,30,0.025,0.02,rq3
69,1000,0.069,0.0540793358,0.0865151093,100,30,0.025,0.03,rq3
118,1000,0.118,0.0986525164,0.1396277205,100,40,0.025,0.01,rq3
123,1000,0.123,0.1032769096,0.1449722387,100,40,0.025,0.02,rq3
101,1000,0.101,0.0830201139,0.1213668235,100,40,0.025,0.03,rq3
135,1000,0.135,0.1144190504,0.1577559156,100,50,0.025,0.01,rq3
162,1000,0.162,0.1396851116,0.1863246549,100,50,0.025,0.02,rq3
127,1000,0.127,0.1069843269,0.1492400303,100,50,0.025,0.03,rq3
137,1000,0.137,0.1162816894,0.1598809651,150,30,0.025,0.01,rq3
156,1000,0.156,0.1340491239,0.179997185,150,30,0.025,0.02,rq3
96,1000,0.096,0.0784520362,0.1159666434,150,30,0.025,0.03,rq3
169,1000,0.169,0.1462744887,0.1936927464,150,40,0.025,0.01,rq3
159,1000,0.159,0.1368656923,0.1831623348,150,40,0.025,0.02,rq3
124,1000,0.124,0.1042031192,0.146039825,150,40,0.025,0.03,rq3
248,1000,0.248,0.2215081298,0.2759842205,150,50,0.025,0.01,rq3
225,1000,0.225,0.1994588715,0.2521710002,150,50,0.025,0.02,rq3
149,1000,0.149,0.1274886004,0.1726004536,150,50,0.025,0.03,rq3
190,1000,0.19,0.1661265075,0.2157136889,200,30,0.025,0.01,rq3
176,1000,0.176,0.1528782896,0.2010465127,200,30,0.025,0.02,rq3
98,1000,0.098,0.0802775055,0.1181284544,200,30,0.025,0.03,rq3
214,1000,0.214,0.1889526396,0.2407431786,200,40,0.025,0.01,rq3
239,1000,0.239,0.2128674904,0.2666786189,200,40,0.025,0.02,rq3
133,1000,0.133,0.1125579644,0.155629327,200,40,0.025,0.03,rq3
337,1000,0.337,0.3077195058,0.3672438112,200,50,0.025,0.01,rq3
308,1000,0.308,0.2794866299,0.337648662,200,50,0.025,0.02,rq3
161,1000,0.161,0.1387449924,0.1852708587,200,50,0.025,0.03,rq3
236,1000,0.236,0.2099908388,0.2635732049,250,30,0.025,0.01,rq3
224,1000,0.224,0.1985026758,0.2511331858,250,30,0.025,0.02,rq3
112,1000,0.112,0.0931185399,0.1331991656,250,30,0.025,0.03,rq3
328,1000,0.328,0.2989440008,0.3580726558,250,40,0.025,0.01,rq3
262,1000,0.262,0.2349798698,0.2904289758,250,40,0.025,0.02,rq3
143,1000,0.143,0.1218786429,0.1662471566,250,40,0.025,0.03,rq3
405,1000,0.405,0.3743927544,0.4361682363,250,50,0.025,0.01,rq3
380,1000,0.38,0.349807022,0.4109017659,250,50,0.025,0.02,rq3
177,1000,0.177,0.1538228267,0.2020959213,250,50,0.025,0.03,rq3
785,1000,0.785,0.7582168341,0.8100933482,100,30,0.075,0.01,rq3
741,1000,0.741,0.7126632718,0.7679100002,100,30,0.075,0.02,rq3
611,1000,0.611,0.5799927372,0.6413516947,100,30,0.075,0.03,rq3
916,1000,0.916,0.897057001,0.932447258,100,40,0.075,0.01,rq3
889,1000,0.889,0.8678739382,0.9078020928,100,40,0.075,0.02,rq3
773,1000,0.773,0.745754005,0.7986281005,100,40,0.075,0.03,rq3
972,1000,0.972,0.9597851126,0.9813153138,100,50,0.075,0.01,rq3
950,1000,0.95,0.9346095121,0.9626646024,100,50,0.075,0.02,rq3
850,1000,0.85,0.8263418714,0.8715751889,100,50,0.075,0.03,rq3
950,1000,0.95,0.9346095121,0.9626646024,150,30,0.075,0.01,rq3
890,1000,0.89,0.8689475364,0.9087222255,150,30,0.075,0.02,rq3
737,1000,0.737,0.7085406386,0.7640564753,150,30,0.075,0.03,rq3
993,1000,0.993,0.985630805,0.9971811412,150,40,0.075,0.01,rq3
982,1000,0.982,0.9717009588,0.9892980521,150,40,0.075,0.02,rq3
867,1000,0.867,0.844370673,0.8874420356,150,40,0.075,0.03,rq3
996,1000,0.996,0.9897903353,0.998909092,150,50,0.075,0.01,rq3
991,1000,0.991,0.9829842169,0.9958766043,150,50,0.075,0.02,rq3
916,1000,0.916,0.897057001,0.932447258,150,50,0.075,0.03,rq3
980,1000,0.98,0.9692799673,0.987741732,200,30,0.075,0.01,rq3
970,1000,0.97,0.9574485975,0.9796695143,200,30,0.075,0.02,rq3
822,1000,0.822,0.7968549468,0.8452323577,200,30,0.075,0.03,rq3
998,1000,0.998,0.9927941611,0.9997576989,200,40,0.075,0.01,rq3
991,1000,0.991,0.9829842169,0.9958766043,200,40,0.075,0.02,rq3
908,1000,0.908,0.8883642275,0.9251915548,200,40,0.075,0.03,rq3
1000,1000,1,0.9963179161,1,200,50,0.075,0.01,rq3
999,1000,0.999,0.9944410757,0.9999746825,200,50,0.075,0.02,rq3
976,1000,0.976,0.9644993615,0.9845636168,200,50,0.075,0.03,rq3
993,1000,0.993,0.985630805,0.9971811412,250,30,0.075,0.01,rq3
988,1000,0.988,0.9791323204,0.9937844744,250,30,0.075,0.02,rq3
847,1000,0.847,0.8231708607,0.8687645267,250,30,0.075,0.03,rq3
1000,1000,1,0.9963179161,1,250,40,0.075,0.01,rq3
998,1000,0.998,0.9927941611,0.9997576989,250,40,0.075,0.02,rq3
937,1000,0.937,0.9201119581,0.9512530724,250,40,0.075,0.03,rq3
1000,1000,1,0.9963179161,1,250,50,0.075,0.01,rq3
999,1000,0.999,0.9944410757,0.9999746825,250,50,0.075,0.02,rq3
983,1000,0.983,0.9729205031,0.9900664874,250,50,0.075,0.03,rq3
